timestamp,open,high,low,close,volume,amount,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5
2022-09-30 10:19:27,11.85,11.85,11.85,11.85,1900,2251500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,179200,206800,182900,313300,437700,22600,101300,104900,106600,95900
2022-09-30 10:19:30,11.85,11.85,11.85,11.85,9500,11257500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,191300,206700,182900,313300,437700,17600,68200,104900,107600,95900
2022-09-30 10:19:33,11.85,11.85,11.85,11.85,13300,15760500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,190000,206700,184900,313300,437700,5200,68200,104900,107600,95900
2022-09-30 10:19:36,11.84,11.84,11.84,11.84,12100,14326400.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,180100,208700,185900,316200,437700,5200,68200,104900,107600,95900
2022-09-30 10:19:39,11.85,11.85,11.85,11.85,5400,6399000.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,2400,193100,208700,184900,316200,68200,104900,107600,95900,180900
2022-09-30 10:19:42,,,,11.85,0,0.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,9400,195100,208700,181900,317100,69400,104900,107600,95900,180900
2022-09-30 10:19:45,11.85,11.85,11.85,11.85,500,592500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,10400,195200,208400,181900,317100,71500,104900,107600,95900,180900
2022-09-30 10:19:48,11.85,11.85,11.85,11.85,7100,8413500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,5000,195200,208400,181000,317900,71800,104900,107600,95900,180900
2022-09-30 10:19:51,11.85,11.85,11.85,11.85,11200,13272000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,196900,208000,181000,318400,440600,2600,121600,104900,107600,95900
2022-09-30 10:19:54,11.85,11.86,11.85,11.85,11400,13514500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,196100,208000,183200,368400,440700,7800,149300,102900,107600,95900
2022-09-30 10:19:57,11.85,11.85,11.85,11.85,30200,35787000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,201000,208000,185200,368400,440100,4500,131700,102900,107600,95900
2022-09-30 10:20:00,11.85,11.85,11.84,11.85,10500,12442200.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,201900,208000,185200,368400,440100,10200,96200,102900,108600,95900
2022-09-30 10:20:03,11.85,11.85,11.84,11.85,11500,13627200.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,201600,208000,185500,365500,441200,2100,96200,102900,108600,95900
2022-09-30 10:20:06,11.85,11.85,11.85,11.85,4300,5095500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,4600,202000,206400,188800,365500,96200,101400,108600,96100,181700
